MCQID	conclusion
Ni-en-11_0	False
Gu-ch-09_112	True
An-ar-03_44	False
An-ar-43_150	False
Th-en-38_0	False
New-pe-20_4	False
Jod-ch-09_60	False
New-as-02_0	True
Ni-en-03_24	True
New-pe-49_20	False
Ni-en-15_10	False
New-ch-23_70	True
Ki-pe-32_0	True
New-am-53_660	True
New-ch-38_0	True
New-su-88_0	True
New-ch-27_120	True
Ki-pe-34_10	False
New-ch-72_0	True
New-pe-74_0	False
Sa-en-37_0	True
Na-ko-23_21	True
New-spme-04_678	True
New-en-02_236	True
Th-en-22_42	True
Ne-ar-11_24	True
Th-en-03_48	True
New-az-12_165	True
New-en-19_0	True
Al-en-43_19	True
New-am-34_24	True
New-spme-65_198	False
New-en-08_167	False
Ne-ar-37_400	True
New-en-19_215	False
Kik-in-45_0	True
Jo-sp-32_1	False
New-pe-83_0	True
Ji-ko-42_1	True
Jod-ch-15_57	True
New-az-05_259	False
New-en-05_0	True
Ji-ko-45_90	False
Ji-ko-03_0	False
Jo-sp-32_76	False
Ca-sp-45_0	True
New-am-74_0	False
Al-en-19_152	True
Jod-ch-09_0	False
New-en-87_0	True
New-en-68_95	False
New-gr-76_0	False
New-ch-66_40	True
New-az-73_9	True
New-am-15_0	False
Ta-pe-10_97	False
Th-en-15_30	True
New-en-68_102	False
New-pe-16_412	True
Ne-ar-18_22	False
New-az-73_0	False
New-ch-30_0	False
Na-ko-20_0	True
Ca-sp-41_1	False
An-ar-36_1364	False
Na-ko-39_44	False
New-su-82_103	False
Ca-sp-29_260	False
Na-ko-30_16	True
An-ar-03_0	True
Th-en-15_16	True
Ca-sp-29_0	False
New-ch-78_40	False
Ki-pe-51_0	True
New-spme-04_528	False
Ne-ar-26_56	True
Kik-in-10_0	True
New-ha-66_35	False
Ne-ar-39_0	False
New-gr-88_14	True
Na-ko-04_95	True
New-ch-27_0	True
New-az-27_14	False
Kik-in-10_1638	False
New-en-69_286	False
Ji-ko-07_330	True
Ki-pe-34_89	True
Ni-en-15_64	True
Sa-en-16_0	True
New-gr-24_94	False
New-ko-04_2	True
Gu-ch-07_76	True
New-az-21_420	False
New-as-30_0	False
Al-en-43_31	False
New-as-20_272	False
New-gr-24_0	True
Al-en-35_38	False
Al-en-37_20	True
Na-ko-20_497	True
Na-ko-25_112	False
New-pe-86_20	False
New-ch-16_0	False
Ca-sp-42_146	True
Kik-in-10_3224	False
New-ch-17_0	True
New-gr-89_44	True
New-en-76_120	True
Sa-en-13_813	False
Th-en-35_0	True
Kik-in-35_14	True
New-in-33_0	True
Ji-ko-08_1	True
New-am-60_15	False
Na-ko-15_155	False
Sa-en-6_433	False
Kik-in-44_1	True
New-in-34_165	False
Kik-in-02_0	True
New-as-76_78	False
Ca-sp-08_95	True
Ta-pe-17_56	False
New-ch-09_105	True
Gu-ch-18_28	True
New-ha-08_20	False
Ne-ar-38_120	True
Ta-pe-37_657	True
New-gr-76_20	True
Jod-ch-04_0	True
Sa-en-7_0	True
New-su-45_9	False
New-en-07_0	True
Gu-ch-15_0	True
Sa-en-16_165	False
Ta-pe-13_37	False
New-en-18_4	False
Jod-ch-50_66	True
Nu-in-20_8	False
New-ch-51_104	True
Na-ko-07_0	True
Ji-ko-33_12	False
Na-ko-40_44	True
Na-ko-16_780	True
Ki-pe-43_0	False
New-en-05_522	False
Ne-ar-31_2860	False
New-en-18_189	True
New-gr-89_0	True
Kik-in-01_35	True
Th-en-39_0	True
An-ar-08_30	False
Jod-ch-61_99	False
New-in-01_322	False
An-ar-36_0	False
Gu-ch-15_60	True
New-ch-64_32	True
Th-en-24_364	True
Kik-in-01_256	True
Ne-ar-31_286	True
Ki-pe-39_227	False
Th-en-37_20	False
New-su-21_95	True
New-ch-72_65	False
Ni-en-13_0	False
New-en-50_308	False
New-su-77_5	False
New-pe-06_280	False
New-am-77_0	True
New-ha-07_770	True
New-am-60_34	False
New-as-76_169	False
Ne-ar-37_0	False
New-ch-04_115	True
Sa-en-13_453	False
New-spme-68_115	False
Sa-en-1_111	True
Jod-ch-01_60	True
New-pe-11_312	False
Ji-ko-42_96	True
Ni-en-02_146	False
Jod-ch-16_0	False
Jod-ch-48_0	True
Jo-sp-31_0	False
Jod-ch-38_20	False
New-ch-75_0	False
Ne-ar-44_40	False
New-am-41_26	False
Kik-in-11_516	True
Jod-ch-01_145	False
Ta-pe-23_0	True
Ne-ar-39_120	False
Th-en-05_0	True
Jod-ch-58_0	True
Ni-en-21_20	False
Al-en-06_0	True
Ji-ko-27_15	True
Ki-pe-51_1	False
Ta-pe-25_22	True
New-as-15_39	True
Gu-ch-33_0	True
New-en-50_0	True
Jod-ch-37_0	True
New-in-01_0	False
Ne-ar-39_489	False
New-en-49_56	True
Kik-in-02_5	True
